Host: mne-ubu  Current process id: 15164
./linkern -s 42 -S linkern.tour -R 1000000000 -t 18000 ./cities1k.tsp
Chained Lin-Kernighan with seed 42
Problem Name: traveling-santa-2018-prime-paths
traveling-santa-2018-prime-paths
Problem Type: TSP
Number of Nodes: 197769
Rounded Euclidean Norm (CC_EUCLIDEAN)
Time to build kdtree: 0.05
..................................................................................................................................................................................................... 908246 edges
Time to find quad 2-nearest: 0.90
Grow a Quick-Boruvka tour 
...................
Length of Quick-Boruvka Tour: 1664310972.00
Time to grow tour: 0.14
linkern ...
Starting Cycle: 1664310972
   0 Steps   Best: 1515290198   5.13 seconds
37409 Steps   Best: 1506063917   85.79 seconds
37428 Steps   Best: 1506063135   85.82 seconds
37488 Steps   Best: 1506062900   85.93 seconds
37496 Steps   Best: 1506062887   85.95 seconds
37507 Steps   Best: 1506060440   85.96 seconds
37512 Steps   Best: 1506059290   85.98 seconds
37551 Steps   Best: 1506059160   86.06 seconds
37574 Steps   Best: 1506058610   86.10 seconds
37578 Steps   Best: 1506058469   86.11 seconds
37582 Steps   Best: 1506057321   86.13 seconds
37626 Steps   Best: 1506056963   86.21 seconds
37637 Steps   Best: 1506056952   86.23 seconds
37646 Steps   Best: 1506056717   86.25 seconds
37647 Steps   Best: 1506056473   86.25 seconds
37650 Steps   Best: 1506056044   86.26 seconds
37654 Steps   Best: 1506055778   86.26 seconds
37661 Steps   Best: 1506053883   86.28 seconds
37662 Steps   Best: 1506053190   86.28 seconds
37670 Steps   Best: 1506052295   86.29 seconds
37673 Steps   Best: 1506052035   86.30 seconds
37674 Steps   Best: 1506051394   86.30 seconds
37694 Steps   Best: 1506051160   86.33 seconds
37729 Steps   Best: 1506051035   86.41 seconds
37736 Steps   Best: 1506050314   86.43 seconds
37774 Steps   Best: 1506050279   86.49 seconds
37779 Steps   Best: 1506049249   86.50 seconds
37784 Steps   Best: 1506048420   86.51 seconds
37800 Steps   Best: 1506047388   86.54 seconds
37802 Steps   Best: 1506046723   86.54 seconds
37805 Steps   Best: 1506046504   86.54 seconds
37807 Steps   Best: 1506045818   86.55 seconds
37812 Steps   Best: 1506044282   86.56 seconds
37852 Steps   Best: 1506043741   86.64 seconds
37903 Steps   Best: 1506043156   86.74 seconds
37930 Steps   Best: 1506042937   86.79 seconds
37938 Steps   Best: 1506042817   86.80 seconds
37949 Steps   Best: 1506042812   86.81 seconds
37951 Steps   Best: 1506042807   86.82 seconds
37953 Steps   Best: 1506041889   86.82 seconds
37959 Steps   Best: 1506041616   86.84 seconds
37960 Steps   Best: 1506040980   86.84 seconds
37972 Steps   Best: 1506040919   86.86 seconds
37990 Steps   Best: 1506040589   86.89 seconds
37999 Steps   Best: 1506040589   86.91 seconds
38012 Steps   Best: 1506040499   86.92 seconds
38024 Steps   Best: 1506040471   86.95 seconds
38038 Steps   Best: 1506040110   86.98 seconds
38045 Steps   Best: 1506039881   87.00 seconds
38047 Steps   Best: 1506039428   87.00 seconds
38068 Steps   Best: 1506038612   87.06 seconds
38069 Steps   Best: 1506038541   87.06 seconds
38071 Steps   Best: 1506038480   87.06 seconds
38094 Steps   Best: 1506038414   87.11 seconds
38115 Steps   Best: 1506038320   87.17 seconds
38142 Steps   Best: 1506037816   87.23 seconds
38149 Steps   Best: 1506037066   87.24 seconds
38162 Steps   Best: 1506036121   87.26 seconds
38184 Steps   Best: 1506035596   87.30 seconds
38193 Steps   Best: 1506035235   87.32 seconds
38209 Steps   Best: 1506035167   87.35 seconds
38210 Steps   Best: 1506033338   87.35 seconds
38244 Steps   Best: 1506032771   87.42 seconds
38256 Steps   Best: 1506032017   87.44 seconds
38261 Steps   Best: 1506031394   87.45 seconds
38269 Steps   Best: 1506031343   87.46 seconds
38283 Steps   Best: 1506030797   87.48 seconds
38285 Steps   Best: 1506029034   87.48 seconds
38303 Steps   Best: 1506028996   87.54 seconds
38310 Steps   Best: 1506026419   87.56 seconds
38341 Steps   Best: 1506025424   87.61 seconds
38366 Steps   Best: 1506025259   87.65 seconds
38370 Steps   Best: 1506023843   87.66 seconds
38375 Steps   Best: 1506022777   87.67 seconds
38383 Steps   Best: 1506022554   87.68 seconds
38384 Steps   Best: 1506022434   87.68 seconds
38392 Steps   Best: 1506022085   87.71 seconds
38432 Steps   Best: 1506020088   87.79 seconds
38467 Steps   Best: 1506019508   87.87 seconds
38499 Steps   Best: 1506019471   87.93 seconds
38510 Steps   Best: 1506019166   87.96 seconds
38523 Steps   Best: 1506019132   87.99 seconds
38535 Steps   Best: 1506018697   88.01 seconds
38559 Steps   Best: 1506018559   88.07 seconds
38562 Steps   Best: 1506018556   88.08 seconds
38568 Steps   Best: 1506014044   88.10 seconds
38578 Steps   Best: 1506012629   88.12 seconds
38585 Steps   Best: 1506012434   88.14 seconds
38592 Steps   Best: 1506011730   88.15 seconds
38598 Steps   Best: 1506011348   88.16 seconds
38600 Steps   Best: 1506009349   88.17 seconds
38603 Steps   Best: 1506007620   88.17 seconds
38624 Steps   Best: 1506007341   88.21 seconds
38625 Steps   Best: 1506006734   88.21 seconds
38648 Steps   Best: 1506006635   88.26 seconds
38677 Steps   Best: 1506006566   88.32 seconds
38683 Steps   Best: 1506006157   88.32 seconds
38709 Steps   Best: 1506005744   88.37 seconds
38721 Steps   Best: 1506004523   88.39 seconds
38791 Steps   Best: 1506003786   88.54 seconds
38814 Steps   Best: 1506003549   88.58 seconds
38867 Steps   Best: 1506002704   88.70 seconds
38871 Steps   Best: 1506002478   88.70 seconds
38893 Steps   Best: 1506002247   88.76 seconds
38939 Steps   Best: 1506000313   88.88 seconds
38943 Steps   Best: 1505998962   88.89 seconds
38945 Steps   Best: 1505998815   88.89 seconds
38978 Steps   Best: 1505997338   88.96 seconds
38989 Steps   Best: 1505995363   89.00 seconds
38999 Steps   Best: 1505995363   89.02 seconds
39001 Steps   Best: 1505994471   89.02 seconds
39108 Steps   Best: 1505993147   89.26 seconds
39127 Steps   Best: 1505992509   89.30 seconds
39152 Steps   Best: 1505992113   89.38 seconds
39158 Steps   Best: 1505991978   89.40 seconds
39165 Steps   Best: 1505991778   89.42 seconds
39178 Steps   Best: 1505990860   89.45 seconds
39188 Steps   Best: 1505990587   89.47 seconds
39204 Steps   Best: 1505990244   89.50 seconds
39208 Steps   Best: 1505990008   89.51 seconds
39264 Steps   Best: 1505988616   89.61 seconds
39269 Steps   Best: 1505988428   89.62 seconds
39338 Steps   Best: 1505987979   89.75 seconds
39393 Steps   Best: 1505987570   89.84 seconds
39406 Steps   Best: 1505985350   89.87 seconds
39409 Steps   Best: 1505984508   89.88 seconds
39427 Steps   Best: 1505983530   89.91 seconds
39431 Steps   Best: 1505983224   89.91 seconds
39435 Steps   Best: 1505982702   89.92 seconds
39450 Steps   Best: 1505982222   89.94 seconds
39452 Steps   Best: 1505981743   89.96 seconds
39464 Steps   Best: 1505981153   89.99 seconds
39499 Steps   Best: 1505980978   90.06 seconds
39509 Steps   Best: 1505979511   90.09 seconds
39535 Steps   Best: 1505979437   90.14 seconds
39543 Steps   Best: 1505978507   90.16 seconds
39600 Steps   Best: 1505977302   90.30 seconds
39623 Steps   Best: 1505976221   90.34 seconds
39633 Steps   Best: 1505974803   90.37 seconds
39644 Steps   Best: 1505974091   90.39 seconds
39681 Steps   Best: 1505973812   90.46 seconds
39699 Steps   Best: 1505973229   90.49 seconds
39709 Steps   Best: 1505973223   90.50 seconds
39734 Steps   Best: 1505972997   90.55 seconds
39759 Steps   Best: 1505972026   90.60 seconds
39761 Steps   Best: 1505971494   90.60 seconds
39773 Steps   Best: 1505971296   90.62 seconds
39779 Steps   Best: 1505970882   90.64 seconds
39786 Steps   Best: 1505969491   90.66 seconds
39823 Steps   Best: 1505969315   90.72 seconds
39853 Steps   Best: 1505969219   90.80 seconds
39866 Steps   Best: 1505969136   90.82 seconds
39897 Steps   Best: 1505968754   90.87 seconds
39908 Steps   Best: 1505968082   90.89 seconds
39951 Steps   Best: 1505966821   90.98 seconds
39955 Steps   Best: 1505966766   90.99 seconds
39966 Steps   Best: 1505966302   91.02 seconds
39971 Steps   Best: 1505965667   91.02 seconds
39984 Steps   Best: 1505964878   91.05 seconds
39985 Steps   Best: 1505964867   91.05 seconds
39999 Steps   Best: 1505964170   91.08 seconds
Wrote the tour to linkern.tour
40057 Steps   Best: 1505963081   91.23 seconds
40075 Steps   Best: 1505962957   91.27 seconds
40093 Steps   Best: 1505962762   91.31 seconds
40094 Steps   Best: 1505961187   91.31 seconds
40120 Steps   Best: 1505960927   91.36 seconds
40134 Steps   Best: 1505959679   91.38 seconds
40149 Steps   Best: 1505958563   91.40 seconds
40156 Steps   Best: 1505957493   91.42 seconds
40199 Steps   Best: 1505957263   91.53 seconds
40219 Steps   Best: 1505956802   91.56 seconds
40248 Steps   Best: 1505956731   91.62 seconds
40255 Steps   Best: 1505956466   91.63 seconds
40284 Steps   Best: 1505955907   91.71 seconds
40297 Steps   Best: 1505955872   91.73 seconds
40326 Steps   Best: 1505955796   91.83 seconds
40328 Steps   Best: 1505954910   91.84 seconds
40334 Steps   Best: 1505954774   91.84 seconds
40339 Steps   Best: 1505953891   91.85 seconds
40388 Steps   Best: 1505953830   91.95 seconds
40415 Steps   Best: 1505953796   92.00 seconds
40460 Steps   Best: 1505953665   92.07 seconds
40487 Steps   Best: 1505952505   92.11 seconds
40510 Steps   Best: 1505952127   92.16 seconds
40526 Steps   Best: 1505950925   92.19 seconds
40527 Steps   Best: 1505950194   92.19 seconds
40538 Steps   Best: 1505949988   92.20 seconds
40556 Steps   Best: 1505949834   92.23 seconds
40575 Steps   Best: 1505949201   92.27 seconds
40581 Steps   Best: 1505948347   92.28 seconds
40644 Steps   Best: 1505948086   92.40 seconds
40646 Steps   Best: 1505947861   92.41 seconds
40669 Steps   Best: 1505947839   92.45 seconds
40671 Steps   Best: 1505947465   92.45 seconds
40674 Steps   Best: 1505946452   92.46 seconds
40685 Steps   Best: 1505946419   92.48 seconds
40689 Steps   Best: 1505946096   92.48 seconds
40693 Steps   Best: 1505945226   92.49 seconds
40697 Steps   Best: 1505944836   92.50 seconds
40727 Steps   Best: 1505944481   92.55 seconds
40734 Steps   Best: 1505943912   92.56 seconds
40739 Steps   Best: 1505942620   92.57 seconds
40760 Steps   Best: 1505942210   92.63 seconds
40769 Steps   Best: 1505940646   92.65 seconds
40791 Steps   Best: 1505940385   92.70 seconds
40821 Steps   Best: 1505939260   92.76 seconds
40836 Steps   Best: 1505938296   92.80 seconds
40902 Steps   Best: 1505938111   92.97 seconds
40909 Steps   Best: 1505938033   92.98 seconds
40920 Steps   Best: 1505937397   93.00 seconds
40933 Steps   Best: 1505936744   93.03 seconds
40942 Steps   Best: 1505935106   93.04 seconds
40966 Steps   Best: 1505933682   93.08 seconds
40972 Steps   Best: 1505933501   93.09 seconds
40999 Steps   Best: 1505933501   93.14 seconds
41002 Steps   Best: 1505933489   93.15 seconds
41005 Steps   Best: 1505932914   93.15 seconds
41015 Steps   Best: 1505931392   93.17 seconds
41027 Steps   Best: 1505930658   93.19 seconds
41047 Steps   Best: 1505929858   93.23 seconds
41048 Steps   Best: 1505927525   93.23 seconds
41057 Steps   Best: 1505927431   93.25 seconds
41060 Steps   Best: 1505926518   93.25 seconds
41063 Steps   Best: 1505926241   93.26 seconds
41075 Steps   Best: 1505925717   93.28 seconds
41077 Steps   Best: 1505923591   93.29 seconds
41079 Steps   Best: 1505923225   93.29 seconds
41089 Steps   Best: 1505921573   93.31 seconds
41100 Steps   Best: 1505919934   93.33 seconds
41110 Steps   Best: 1505919918   93.35 seconds
41116 Steps   Best: 1505919271   93.35 seconds
41122 Steps   Best: 1505917313   93.36 seconds
41128 Steps   Best: 1505917280   93.37 seconds
41135 Steps   Best: 1505917008   93.38 seconds
41138 Steps   Best: 1505887280   93.39 seconds
41191 Steps   Best: 1505887157   93.48 seconds
41192 Steps   Best: 1505887067   93.48 seconds
41198 Steps   Best: 1505886102   93.49 seconds
41207 Steps   Best: 1505884585   93.50 seconds
41222 Steps   Best: 1505882829   93.55 seconds
41242 Steps   Best: 1505882553   93.60 seconds
41267 Steps   Best: 1505882147   93.64 seconds
41273 Steps   Best: 1505881840   93.65 seconds
41286 Steps   Best: 1505881824   93.68 seconds
41307 Steps   Best: 1505881531   93.72 seconds
41341 Steps   Best: 1505878249   93.80 seconds
41342 Steps   Best: 1505878100   93.80 seconds
41367 Steps   Best: 1505877796   93.85 seconds
41399 Steps   Best: 1505877780   93.92 seconds
41457 Steps   Best: 1505877015   94.04 seconds
41474 Steps   Best: 1505874106   94.07 seconds
41518 Steps   Best: 1505873798   94.15 seconds
41524 Steps   Best: 1505872784   94.16 seconds
41527 Steps   Best: 1505872470   94.16 seconds
41532 Steps   Best: 1505872458   94.18 seconds
41544 Steps   Best: 1505872201   94.19 seconds
41561 Steps   Best: 1505871898   94.21 seconds
41569 Steps   Best: 1505871004   94.22 seconds
41598 Steps   Best: 1505870879   94.27 seconds
41604 Steps   Best: 1505870788   94.28 seconds
41629 Steps   Best: 1505869092   94.33 seconds
41647 Steps   Best: 1505869047   94.35 seconds
41661 Steps   Best: 1505868919   94.38 seconds
41685 Steps   Best: 1505868757   94.43 seconds
41691 Steps   Best: 1505868176   94.44 seconds
41704 Steps   Best: 1505867612   94.47 seconds
41726 Steps   Best: 1505866833   94.51 seconds
41772 Steps   Best: 1505863620   94.60 seconds
41797 Steps   Best: 1505863113   94.65 seconds
41817 Steps   Best: 1505862867   94.71 seconds
41827 Steps   Best: 1505862486   94.73 seconds
41840 Steps   Best: 1505862023   94.75 seconds
41876 Steps   Best: 1505861852   94.82 seconds
41894 Steps   Best: 1505860555   94.86 seconds
41895 Steps   Best: 1505859618   94.86 seconds
41914 Steps   Best: 1505859035   94.89 seconds
41957 Steps   Best: 1505857788   94.97 seconds
41999 Steps   Best: 1505857788   95.06 seconds
42008 Steps   Best: 1505857589   95.07 seconds
42013 Steps   Best: 1505856365   95.08 seconds
42022 Steps   Best: 1505855995   95.10 seconds
42036 Steps   Best: 1505855956   95.12 seconds
42072 Steps   Best: 1505855346   95.19 seconds
42102 Steps   Best: 1505855331   95.24 seconds
42123 Steps   Best: 1505855218   95.29 seconds
42131 Steps   Best: 1505854936   95.29 seconds
42136 Steps   Best: 1505854534   95.30 seconds
42156 Steps   Best: 1505852963   95.33 seconds
42216 Steps   Best: 1505851829   95.45 seconds
42218 Steps   Best: 1505851773   95.45 seconds
42225 Steps   Best: 1505851317   95.46 seconds
42245 Steps   Best: 1505850674   95.50 seconds
42305 Steps   Best: 1505850642   95.62 seconds
42310 Steps   Best: 1505848021   95.62 seconds
42321 Steps   Best: 1505847167   95.65 seconds
42323 Steps   Best: 1505846820   95.65 seconds
42335 Steps   Best: 1505846084   95.67 seconds
42354 Steps   Best: 1505845969   95.72 seconds
42364 Steps   Best: 1505845090   95.73 seconds
42381 Steps   Best: 1505843667   95.77 seconds
42383 Steps   Best: 1505843665   95.78 seconds
42459 Steps   Best: 1505842945   95.91 seconds
42482 Steps   Best: 1505842689   95.95 seconds
42490 Steps   Best: 1505842666   95.97 seconds
42502 Steps   Best: 1505842404   95.99 seconds
42553 Steps   Best: 1505842084   96.07 seconds
42556 Steps   Best: 1505841904   96.07 seconds
42559 Steps   Best: 1505840790   96.08 seconds
42608 Steps   Best: 1505839550   96.18 seconds
42617 Steps   Best: 1505838891   96.20 seconds
42620 Steps   Best: 1505838619   96.20 seconds
42634 Steps   Best: 1505838198   96.22 seconds
42639 Steps   Best: 1505836330   96.23 seconds
42646 Steps   Best: 1505835704   96.24 seconds
42651 Steps   Best: 1505835364   96.25 seconds
42682 Steps   Best: 1505835316   96.31 seconds
42686 Steps   Best: 1505834932   96.32 seconds
42709 Steps   Best: 1505833798   96.37 seconds
42716 Steps   Best: 1505833463   96.39 seconds
42724 Steps   Best: 1505832025   96.40 seconds
42739 Steps   Best: 1505831929   96.43 seconds
42740 Steps   Best: 1505831775   96.43 seconds
42763 Steps   Best: 1505831774   96.47 seconds
42784 Steps   Best: 1505831415   96.51 seconds
42795 Steps   Best: 1505830951   96.53 seconds
42818 Steps   Best: 1505830674   96.59 seconds
42836 Steps   Best: 1505830280   96.63 seconds
42852 Steps   Best: 1505830044   96.66 seconds
42860 Steps   Best: 1505829546   96.68 seconds
42862 Steps   Best: 1505829489   96.68 seconds
42871 Steps   Best: 1505828991   96.70 seconds
42889 Steps   Best: 1505828217   96.73 seconds
42898 Steps   Best: 1505828012   96.75 seconds
42907 Steps   Best: 1505827845   96.78 seconds
42908 Steps   Best: 1505827641   96.78 seconds
42932 Steps   Best: 1505826292   96.83 seconds
42956 Steps   Best: 1505826255   96.86 seconds
42962 Steps   Best: 1505824497   96.87 seconds
42999 Steps   Best: 1505824497   96.95 seconds
43012 Steps   Best: 1505822581   96.97 seconds
43030 Steps   Best: 1505821960   97.00 seconds
43035 Steps   Best: 1505821936   97.01 seconds
43043 Steps   Best: 1505821714   97.03 seconds
43046 Steps   Best: 1505819989   97.03 seconds
43050 Steps   Best: 1505819870   97.04 seconds
43068 Steps   Best: 1505814060   97.08 seconds
43093 Steps   Best: 1505814041   97.11 seconds
43151 Steps   Best: 1505813185   97.21 seconds
43165 Steps   Best: 1505811687   97.24 seconds
43186 Steps   Best: 1505811324   97.27 seconds
43190 Steps   Best: 1505810883   97.28 seconds
43196 Steps   Best: 1505810386   97.30 seconds
43247 Steps   Best: 1505809999   97.39 seconds
43248 Steps   Best: 1505809736   97.39 seconds
43253 Steps   Best: 1505809734   97.40 seconds
43293 Steps   Best: 1505807585   97.47 seconds
43302 Steps   Best: 1505806391   97.49 seconds
43308 Steps   Best: 1505805539   97.49 seconds
43343 Steps   Best: 1505802464   97.54 seconds
43350 Steps   Best: 1505801366   97.56 seconds
43353 Steps   Best: 1505801244   97.56 seconds
43375 Steps   Best: 1505800996   97.60 seconds
43400 Steps   Best: 1505800603   97.63 seconds
43410 Steps   Best: 1505800581   97.65 seconds
43427 Steps   Best: 1505799623   97.68 seconds
43485 Steps   Best: 1505799465   97.80 seconds
43492 Steps   Best: 1505798924   97.81 seconds
43515 Steps   Best: 1505797964   97.86 seconds
43528 Steps   Best: 1505797133   97.89 seconds
43534 Steps   Best: 1505796688   97.90 seconds
43587 Steps   Best: 1505794932   98.03 seconds
43637 Steps   Best: 1505794815   98.13 seconds
43683 Steps   Best: 1505794182   98.24 seconds
43686 Steps   Best: 1505793575   98.24 seconds
43692 Steps   Best: 1505792937   98.26 seconds
43744 Steps   Best: 1505791685   98.38 seconds
43752 Steps   Best: 1505791621   98.38 seconds
43756 Steps   Best: 1505791567   98.39 seconds
43759 Steps   Best: 1505791438   98.40 seconds
43801 Steps   Best: 1505791419   98.48 seconds
43809 Steps   Best: 1505791320   98.50 seconds
43845 Steps   Best: 1505789978   98.60 seconds
43848 Steps   Best: 1505789947   98.60 seconds
43874 Steps   Best: 1505789702   98.67 seconds
43898 Steps   Best: 1505788155   98.71 seconds
43929 Steps   Best: 1505787944   98.78 seconds
43941 Steps   Best: 1505786351   98.80 seconds
43947 Steps   Best: 1505786043   98.81 seconds
43967 Steps   Best: 1505785942   98.84 seconds
43969 Steps   Best: 1505785636   98.85 seconds
43996 Steps   Best: 1505785019   98.89 seconds
43999 Steps   Best: 1505785019   98.90 seconds
44013 Steps   Best: 1505784469   98.93 seconds
44018 Steps   Best: 1505782340   98.94 seconds
44019 Steps   Best: 1505781446   98.94 seconds
44050 Steps   Best: 1505781152   99.01 seconds
44073 Steps   Best: 1505780685   99.05 seconds
44095 Steps   Best: 1505780481   99.08 seconds
44096 Steps   Best: 1505779467   99.08 seconds
44111 Steps   Best: 1505778905   99.12 seconds
44128 Steps   Best: 1505778436   99.15 seconds
44138 Steps   Best: 1505777569   99.17 seconds
44206 Steps   Best: 1505776570   99.31 seconds
44221 Steps   Best: 1505776139   99.34 seconds
44254 Steps   Best: 1505775686   99.39 seconds
44319 Steps   Best: 1505775468   99.54 seconds
44348 Steps   Best: 1505774366   99.61 seconds
44352 Steps   Best: 1505774114   99.62 seconds
44393 Steps   Best: 1505773905   99.69 seconds
44401 Steps   Best: 1505773484   99.70 seconds
44436 Steps   Best: 1505773317   99.77 seconds
44465 Steps   Best: 1505772608   99.82 seconds
44473 Steps   Best: 1505772137   99.83 seconds
44475 Steps   Best: 1505771951   99.83 seconds
44479 Steps   Best: 1505771898   99.84 seconds
44510 Steps   Best: 1505771857   99.91 seconds
44532 Steps   Best: 1505771433   99.96 seconds
44563 Steps   Best: 1505771420   100.01 seconds
44618 Steps   Best: 1505771040   100.13 seconds
44622 Steps   Best: 1505770259   100.13 seconds
44654 Steps   Best: 1505770093   100.19 seconds
44655 Steps   Best: 1505768218   100.19 seconds
44671 Steps   Best: 1505767875   100.22 seconds
44675 Steps   Best: 1505767829   100.23 seconds
44680 Steps   Best: 1505767327   100.24 seconds
44695 Steps   Best: 1505766178   100.27 seconds
44719 Steps   Best: 1505766050   100.31 seconds
44747 Steps   Best: 1505765025   100.36 seconds
44759 Steps   Best: 1505764368   100.38 seconds
44781 Steps   Best: 1505762935   100.42 seconds
44790 Steps   Best: 1505762621   100.43 seconds
44791 Steps   Best: 1505762409   100.43 seconds
44802 Steps   Best: 1505762039   100.45 seconds
44821 Steps   Best: 1505761880   100.48 seconds
44894 Steps   Best: 1505760772   100.62 seconds
44916 Steps   Best: 1505760082   100.66 seconds
44972 Steps   Best: 1505760034   100.75 seconds
44999 Steps   Best: 1505760034   100.81 seconds
45029 Steps   Best: 1505759994   100.89 seconds
45038 Steps   Best: 1505759982   100.90 seconds
45087 Steps   Best: 1505759492   101.00 seconds
45117 Steps   Best: 1505759330   101.06 seconds
45140 Steps   Best: 1505758355   101.10 seconds
45142 Steps   Best: 1505758123   101.11 seconds
45145 Steps   Best: 1505755715   101.11 seconds
45172 Steps   Best: 1505754997   101.16 seconds
45174 Steps   Best: 1505754716   101.17 seconds
45201 Steps   Best: 1505754581   101.22 seconds
45223 Steps   Best: 1505754509   101.27 seconds
45249 Steps   Best: 1505754430   101.32 seconds
45257 Steps   Best: 1505754316   101.33 seconds
45273 Steps   Best: 1505754280   101.36 seconds
45299 Steps   Best: 1505753960   101.42 seconds
45311 Steps   Best: 1505752650   101.44 seconds
45320 Steps   Best: 1505752007   101.45 seconds
45326 Steps   Best: 1505751635   101.46 seconds
45366 Steps   Best: 1505751450   101.53 seconds
45370 Steps   Best: 1505751118   101.54 seconds
45381 Steps   Best: 1505750360   101.55 seconds
45390 Steps   Best: 1505749787   101.57 seconds
45416 Steps   Best: 1505749342   101.62 seconds
45419 Steps   Best: 1505749179   101.63 seconds
45443 Steps   Best: 1505748752   101.66 seconds
45473 Steps   Best: 1505748488   101.72 seconds
45479 Steps   Best: 1505748141   101.72 seconds
45539 Steps   Best: 1505747661   101.82 seconds
45566 Steps   Best: 1505747426   101.86 seconds
45594 Steps   Best: 1505746787   101.91 seconds
45631 Steps   Best: 1505746663   101.99 seconds
45647 Steps   Best: 1505746195   102.01 seconds
45662 Steps   Best: 1505745486   102.04 seconds
45689 Steps   Best: 1505745416   102.08 seconds
45701 Steps   Best: 1505745174   102.10 seconds
45728 Steps   Best: 1505743159   102.14 seconds
45729 Steps   Best: 1505742230   102.14 seconds
45783 Steps   Best: 1505741815   102.25 seconds
45802 Steps   Best: 1505741144   102.29 seconds
45806 Steps   Best: 1505740795   102.30 seconds
45811 Steps   Best: 1505740219   102.30 seconds
45817 Steps   Best: 1505740073   102.31 seconds
45833 Steps   Best: 1505739491   102.34 seconds
45835 Steps   Best: 1505739032   102.34 seconds
45836 Steps   Best: 1505738571   102.34 seconds
45841 Steps   Best: 1505738236   102.35 seconds
45894 Steps   Best: 1505737922   102.44 seconds
45999 Steps   Best: 1505737922   102.65 seconds
46000 Steps   Best: 1505737655   102.65 seconds
46003 Steps   Best: 1505737147   102.65 seconds
46013 Steps   Best: 1505736792   102.67 seconds
46016 Steps   Best: 1505736765   102.68 seconds
46021 Steps   Best: 1505735509   102.68 seconds
46040 Steps   Best: 1505735174   102.72 seconds
46045 Steps   Best: 1505734828   102.73 seconds
46064 Steps   Best: 1505734225   102.77 seconds
46110 Steps   Best: 1505734117   102.87 seconds
46119 Steps   Best: 1505734052   102.89 seconds
46137 Steps   Best: 1505733433   102.92 seconds
46160 Steps   Best: 1505732460   102.97 seconds
46164 Steps   Best: 1505732414   102.98 seconds
46175 Steps   Best: 1505731907   103.00 seconds
46178 Steps   Best: 1505731817   103.01 seconds
46197 Steps   Best: 1505731405   103.04 seconds
46238 Steps   Best: 1505731087   103.10 seconds
46245 Steps   Best: 1505729323   103.12 seconds
46246 Steps   Best: 1505728480   103.12 seconds
46269 Steps   Best: 1505727198   103.16 seconds
46299 Steps   Best: 1505726592   103.22 seconds
46323 Steps   Best: 1505725783   103.26 seconds
46361 Steps   Best: 1505725194   103.35 seconds
46367 Steps   Best: 1505724707   103.37 seconds
46374 Steps   Best: 1505724178   103.38 seconds
46378 Steps   Best: 1505723226   103.38 seconds
46384 Steps   Best: 1505722503   103.39 seconds
46427 Steps   Best: 1505722381   103.46 seconds
46501 Steps   Best: 1505722230   103.60 seconds
46510 Steps   Best: 1505721408   103.62 seconds
46525 Steps   Best: 1505721129   103.64 seconds
46527 Steps   Best: 1505720738   103.65 seconds
46529 Steps   Best: 1505720441   103.65 seconds
46539 Steps   Best: 1505720217   103.67 seconds
46560 Steps   Best: 1505719635   103.70 seconds
46562 Steps   Best: 1505719564   103.70 seconds
46654 Steps   Best: 1505719430   103.85 seconds
46669 Steps   Best: 1505719314   103.87 seconds
46673 Steps   Best: 1505718760   103.89 seconds
46676 Steps   Best: 1505718462   103.89 seconds
46709 Steps   Best: 1505718398   103.96 seconds
46716 Steps   Best: 1505717499   103.97 seconds
46730 Steps   Best: 1505716535   103.99 seconds
46751 Steps   Best: 1505716239   104.03 seconds
46755 Steps   Best: 1505716048   104.04 seconds
46756 Steps   Best: 1505715770   104.04 seconds
46809 Steps   Best: 1505715375   104.17 seconds
46861 Steps   Best: 1505713128   104.27 seconds
46866 Steps   Best: 1505712487   104.28 seconds
46877 Steps   Best: 1505712485   104.30 seconds
46919 Steps   Best: 1505711508   104.37 seconds
46931 Steps   Best: 1505710781   104.38 seconds
46955 Steps   Best: 1505710105   104.44 seconds
46991 Steps   Best: 1505709660   104.52 seconds
46999 Steps   Best: 1505709660   104.53 seconds
47019 Steps   Best: 1505707649   104.57 seconds
47034 Steps   Best: 1505707429   104.61 seconds
47037 Steps   Best: 1505707347   104.62 seconds
47068 Steps   Best: 1505705850   104.67 seconds
47082 Steps   Best: 1505704546   104.69 seconds
47098 Steps   Best: 1505704376   104.72 seconds
47130 Steps   Best: 1505704143   104.77 seconds
47151 Steps   Best: 1505703936   104.81 seconds
47181 Steps   Best: 1505703198   104.85 seconds
47220 Steps   Best: 1505703186   104.94 seconds
47321 Steps   Best: 1505698978   105.13 seconds
47347 Steps   Best: 1505696979   105.18 seconds
47348 Steps   Best: 1505696611   105.19 seconds
47351 Steps   Best: 1505696282   105.19 seconds
47352 Steps   Best: 1505696113   105.19 seconds
47370 Steps   Best: 1505695402   105.23 seconds
47374 Steps   Best: 1505695029   105.24 seconds
47380 Steps   Best: 1505694850   105.25 seconds
47399 Steps   Best: 1505694264   105.30 seconds
47431 Steps   Best: 1505693699   105.37 seconds
47443 Steps   Best: 1505693523   105.41 seconds
47445 Steps   Best: 1505692042   105.41 seconds
47450 Steps   Best: 1505691212   105.43 seconds
47453 Steps   Best: 1505690876   105.43 seconds
47507 Steps   Best: 1505690619   105.52 seconds
47532 Steps   Best: 1505689942   105.56 seconds
47547 Steps   Best: 1505689780   105.58 seconds
47550 Steps   Best: 1505689699   105.58 seconds
47555 Steps   Best: 1505689636   105.59 seconds
